Locustag	begin	end	length	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
T-box-8	1676392	1676617	226	-	1676392	1676617	226	CisReg	Rfam	T-box, T-box 7, 	"Toledo-Arana et al. 2009;Rfam 2012;"				
T-box-9	1676666	1676907	242	-	1676666	1676907	242	CisReg	Rfam	T-box, T-box 8, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
TPP-1	340086	340191	106	+	340086	340191	106	CisReg	Rfam	TPP, TPP 1, TPP1, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
TPP-2	1461163	1461273	111	-	1461163	1461273	111	CisReg	Rfam	TPP, TPP 2, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
anti0043	48338	48637	300	-	48338	48637	300	ASrna	Mraheil et al. 2011		"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti0112	120158	120546	389	+	120158	120546	389	ASrna	Toledo-Arana et al. 2009	lmo0111, 	"Toledo-Arana et al. 2009;"				
anti0172-rli23	172186	172485	300	+	172186	172485	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0307	331446	331758	313	-	331446	331758	313	ASrna	Toledo-Arana et al. 2009	lmo0306, 	"Toledo-Arana et al. 2009;"				
anti0330-rli25	357292	357591	300	-	357292	357591	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0360	388392	388640	249	-	388392	388640	249	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0387	411795	412094	300	-	411795	412094	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0421	441667	441966	300	+	441667	441966	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0424	444354	444653	300	+	444354	444653	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0441	471939	472238	300	+	471939	472238	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0469	506019	506103	85	-	506019	506103	85	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0470	506669	506968	300	-	506669	506968	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0506-rli30	540470	540769	300	-	540470	540769	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0570	607550	607849	300	-	607550	607849	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0571	608233	608532	300	+	608233	608532	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0605	643800	644099	300	+	643800	644099	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0647-1	689529	689828	300	+	689529	689828	300	ASrna	Mraheil et al. 2011		"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti0647-2	689530	689922	393	+	689530	689922	393	ASrna	Toledo-Arana et al. 2009	lmo0648, 	"Toledo-Arana et al. 2009;Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti0648-1	689932	689996	65	-	689932	689996	65	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0648-2	690044	690350	307	-	690044	690350	307	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0648-T1	689825	690364	540	-	689825	690364	540	ASrna	Toledo-Arana et al. 2009	lmo0647-T1, 	"Toledo-Arana et al. 2009;"				
anti0648-T2	689825	689861	37	-	689825	689861	37	ASrna	Toledo-Arana et al. 2009	lmo0647-T2, 	"Toledo-Arana et al. 2009;"				
anti0667	704825	705124	300	-	704825	705124	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0671	707570	707869	300	-	707570	707869	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0675	712148	712447	300	-	712148	712447	300	ASrna	Wurtzel et al. 2012	anti0675-677, 	"Wurtzel et al. 2012;"				
anti0733	762804	763634	831	-	762804	763634	831	ASrna	Toledo-Arana et al. 2009	lmo0734, 	"Toledo-Arana et al. 2009;"				
anti0796	823682	823884	203	+	823682	823884	203	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0799	827498	827797	300	+	827498	827797	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0811	838544	838843	300	-	838544	838843	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0828-rli35	855168	855467	300	-	855168	855467	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0887	925981	926280	300	-	925981	926280	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0943	979023	979137	115	-	979023	979137	115	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0945	981201	981315	115	-	981201	981315	115	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti0946-LhrC-5	981367	981666	300	-	981367	981666	300	ASrna	Mraheil et al. 2011	anti0946, anti0946-anti-LhrC-5, 	"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti0968	1000110	1000409	300	-	1000110	1000409	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti0977-1	1007804	1008103	300	+	1007804	1008103	300	ASrna	Wurtzel et al. 2012	anti0977, 	"Wurtzel et al. 2012;"				
anti0977-2	1008851	1008902	52	+	1008851	1008902	52	ASrna	Mraheil et al. 2011	anti0977, 	"Mraheil et al. 2011;"				
anti1023	1051479	1051778	300	-	1051479	1051778	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1079	1111718	1112017	300	-	1111718	1112017	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1096	1129954	1130253	300	-	1129954	1130253	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1188	1213684	1213983	300	-	1213684	1213983	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1236	1263477	1263776	300	+	1263477	1263776	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1255	1279827	1280126	300	+	1279827	1280126	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1278	1302614	1302913	300	-	1302614	1302913	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1279	1303686	1303985	300	-	1303686	1303985	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1284	1307098	1307397	300	+	1307098	1307397	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1399	1426672	1426971	300	-	1426672	1426971	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1457	1490369	1490461	93	+	1490369	1490461	93	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1461	1495134	1495433	300	-	1495134	1495433	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1479	1513590	1513639	50	+	1513590	1513639	50	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1655	1704657	1704956	300	+	1704657	1704956	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1670-1	1724308	1724381	74	-	1724308	1724381	74	ASrna	Wurtzel et al. 2012	anti1670, 	"Mraheil et al. 2011;"				
anti1670-2	1724155	1724454	300	-	1724155	1724454	300	ASrna	Mraheil et al. 2011	anti1670, 	"Wurtzel et al. 2012;"				
anti1677	1732172	1732471	300	-	1732172	1732471	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1707	1769225	1769524	300	-	1769225	1769524	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1708	1770069	1770368	300	+	1770069	1770368	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1734	1800500	1800799	300	+	1800500	1800799	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1749	1819048	1819127	80	-	1819048	1819127	80	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1751	1820461	1820760	300	+	1820461	1820760	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1758	1829176	1829234	59	+	1829176	1829234	59	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1777	1854469	1854768	300	+	1854469	1854768	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1816	1890670	1890969	300	-	1890670	1890969	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1830	1905800	1906099	300	-	1905800	1906099	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1846	1923063	1923362	300	-	1923063	1923362	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1909	1982000	1982299	300	-	1982000	1982299	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti1910	1982891	1983142	252	+	1982891	1983142	252	ASrna	Toledo-Arana et al. 2009	lmo1909, 	"Toledo-Arana et al. 2009;"				
anti1967	2041537	2041655	119	-	2041537	2041655	119	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1974	2047165	2047238	74	+	2047165	2047238	74	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti1980-1	2052533	2052674	142	-	2052533	2052674	142	ASrna	Wurtzel et al. 2012	lmo1981, 	"Toledo-Arana et al. 2009;"				
anti1980-2	2052445	2052744	300	-	2052445	2052744	300	ASrna	Toledo-Arana et al. 2009	anti1980, 	"Wurtzel et al. 2012;"				
anti1981	2052934	2053035	102	+	2052934	2053035	102	ASrna	Toledo-Arana et al. 2009	lmo1980, 	"Toledo-Arana et al. 2009;Wurtzel et al. 2012;"				
anti2044	2128539	2128672	134	-	2128539	2128672	134	ASrna	Toledo-Arana et al. 2009	lmo2045, 	"Toledo-Arana et al. 2009;"				
anti2045	2129095	2129314	220	+	2129095	2129314	220	ASrna	Toledo-Arana et al. 2009	lmo2044, 	"Toledo-Arana et al. 2009;"				
anti2046	2129647	2129946	300	+	2129647	2129946	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2057	2139794	2140093	300	+	2139794	2140093	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2092	2172218	2172517	300	-	2172218	2172517	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2095-1	2174999	2177148	2150	+	2174999	2177148	2150	ASrna	Toledo-Arana et al. 2009	anti2095-RNA2, 	"Toledo-Arana et al. 2009;"				
anti2095-rli65	2174997	2175296	300	+	2174997	2175296	300	ASrna	Toledo-Arana et al. 2009	anti2095, anti2095-RNA1, 	"Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;"				
anti2114	2194325	2194624	300	-	2194325	2194624	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2115	2194179	2194478	300	-	2194179	2194478	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2224	2314340	2314423	84	+	2314340	2314423	84	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti2241	2333247	2333546	300	+	2333247	2333546	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2260-1	2347318	2347617	300	+	2347318	2347617	300	ASrna	Wurtzel et al. 2012	anti2260, 	"Wurtzel et al. 2012;"				
anti2260-2	2347675	2348065	391	+	2347675	2348065	391	ASrna	Toledo-Arana et al. 2009	anti2260, lmo2259, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;"				
anti2263	2349756	2350055	300	-	2349756	2350055	300	ASrna	Mraheil et al. 2011		"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti2270	2360255	2360554	300	-	2360255	2360554	300	ASrna	Mraheil et al. 2011		"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti2271	2360820	2360930	111	+	2360820	2360930	111	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti2325-1	2397280	2397544	265	+	2397280	2397544	265	ASrna	Toledo-Arana et al. 2009	anti2325-RNA1, 	"Toledo-Arana et al. 2009;"				
anti2325-2	2397280	2398275	996	+	2397280	2398275	996	ASrna	Toledo-Arana et al. 2009	anti2325-2327, anti2325-RNA2, 	"Toledo-Arana et al. 2009;Wurtzel et al. 2012;"				
anti2394-1	2468058	2468274	217	+	2468058	2468274	217	ASrna	Toledo-Arana et al. 2009	anti2394, anti2394-RNA1, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;"				
anti2394-2	2468058	2468751	694	+	2468058	2468751	694	ASrna	Toledo-Arana et al. 2009	anti2394, anti2394-RNA2, 	"Toledo-Arana et al. 2009;Wurtzel et al. 2012;"				
anti2415	2486369	2486419	51	+	2486369	2486419	51	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti2418	2489486	2489785	300	+	2489486	2489785	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2428	2497360	2497659	300	+	2497360	2497659	300	ASrna	Mraheil et al. 2011		"Wurtzel et al. 2012;Mraheil et al. 2011;"				
anti2530	2608022	2608077	56	+	2608022	2608077	56	ASrna	Mraheil et al. 2011		"Mraheil et al. 2011;"				
anti2558	2637381	2637680	300	-	2637381	2637680	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2678	2749549	2749848	300	+	2749549	2749848	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2700	2775493	2775792	300	-	2775493	2775792	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2717	2792160	2792459	300	+	2792160	2792459	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2722	2797765	2798064	300	-	2797765	2798064	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2745	2820427	2820726	300	-	2820427	2820726	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
anti2749	2823812	2824111	300	-	2823812	2824111	300	ASrna	Wurtzel et al. 2012		"Wurtzel et al. 2012;"				
glmS	756458	756652	195	+	756458	756652	195	CisReg	Rfam	glms, 	"Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;"				
lmo0001	318	1673	1356	+	318	1673	1356	ORF	"binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication; can also affect transcription of multiple genes including itself."	chromosomal replication initiation protein	Chromosomal replication initiator protein DnaA	Operon_001	Replication, recombination and repair	GTG	 
lmo0002	1867	3012	1146	+	1867	3012	1146	ORF	binds the polymerase to DNA and acts as a sliding clamp	DNA polymerase III subunit beta	DNA polymerase III beta subunit (EC 2.7.7.7)	Operon_001	Replication, recombination and repair	ATG	 
lmo0003	3121	4464	1344	+	3121	4464	1344	ORF		hypothetical protein - RAST_Product: FIG00774723: hypothetical protein	FIG00774723: hypothetical protein		Defense/virulence mechanisms	ATG	 
lmo0004	4644	4865	222	+	4644	4865	222	ORF	similar to B. subtilis YaaA protein	hypothetical protein	FIG002958: hypothetical protein	Operon_002	Function unknown	TTG	 
lmo0005	4869	5981	1113	+	4869	5981	1113	ORF	"Required for DNA replication; binds preferentially to single-stranded, linear DNA"	recombination protein F	DNA recombination and repair protein RecF	Operon_002	Replication, recombination and repair	ATG	 
lmo0006	6030	7970	1941	+	6030	7970	1941	ORF		DNA gyrase subunit B	DNA gyrase subunit B (EC 5.99.1.3)	Operon_002	Replication, recombination and repair	ATG	 
lmo0007	8065	10593	2529	+	8065	10593	2529	ORF		DNA gyrase subunit A	DNA gyrase subunit A (EC 5.99.1.3)	Operon_002	Replication, recombination and repair	ATG	 
lmo0008	10728	12242	1515	+	10728	12242	1515	ORF	similar to cardiolipin synthase	hypothetical protein - RAST_Product: Cardiolipin synthetase (EC 2.7.8.-)	Cardiolipin synthetase (EC 2.7.8.-)	Operon_003	Lipid transport and metabolism	ATG	 
lmo0009	12258	12776	519	+	12258	12776	519	ORF	similar to spermidine N1-acetyltransferase	hypothetical protein - RAST_Product: Spermidine N1-acetyltransferase (EC 2.3.1.57)	Spermidine N1-acetyltransferase (EC 2.3.1.57)	Operon_003	Translation	ATG	 
lmo0010	12918	13886	969	+	12918	13886	969	ORF	similar to mevalonate kinase	hypothetical protein - RAST_Product: Mevalonate kinase (EC 2.7.1.36)	Mevalonate kinase (EC 2.7.1.36)	Operon_004	Lipid transport and metabolism	TTG	 
lmo0011	13843	14814	972	+	13843	14814	972	ORF	similar to mevalonate diphosphate decarboxylase	hypothetical protein - RAST_Product: Diphosphomevalonate decarboxylase (EC 4.1.1.33)	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	Operon_004	Lipid transport and metabolism	ATG	 
lmo0012	14795	15874	1080	+	14795	15874	1080	ORF	similar to mevalonate kinases	hypothetical protein - RAST_Product: Phosphomevalonate kinase (EC 2.7.4.2)	Phosphomevalonate kinase (EC 2.7.4.2)	Operon_004	Lipid transport and metabolism	TTG	 
lmo0013	16219	17325	1107	+	16219	17325	1107	ORF		AA3-600 quinol oxidase subunit II	AA3-600 quinol oxidase subunit II	Operon_005	Energy production and conversion	GTG	 
lmo0014	17344	19323	1980	+	17344	19323	1980	ORF		AA3-600 quinol oxidase subunit I	AA3-600 quinol oxidase subunit I	Operon_005	Energy production and conversion	ATG	 
lmo0015	19311	19922	612	+	19311	19922	612	ORF		AA3-600 quinol oxidase subunit III	AA3-600 quinol oxidase subunit IIII	Operon_005	Energy production and conversion	ATG	 
lmo0016	19924	20256	333	+	19924	20256	333	ORF	highly similar to quinol oxidase aa3-600 chain IV	hypothetical protein - RAST_Product: AA3-600 quinol oxidase subunit IV	AA3-600 quinol oxidase subunit IV	Operon_005	Energy production and conversion	ATG	 
lmo0017	20308	21426	1119	-	20308	21426	1119	ORF	similar to Bacillus anthracis CapA protein (polyglutamate capsule biosynthesis)	hypothetical protein - RAST_Product: Capsule biosynthesis protein capA	Capsule biosynthesis protein capA		Cell wall/membrane biogenesis	ATG	 
lmo0018	21652	23085	1434	+	21652	23085	1434	ORF		beta-glucosidase	"Beta-glucosidase (EC 3.2.1.21); 6-phospho-beta-glucosidase (EC 3.2.1.86)"		Carbohydrate transport and metabolism	ATG	 
lmo0019	23132	23953	822	-	23132	23953	822	ORF	lmo0019	hypothetical protein - RAST_Product: FIG00774048: hypothetical protein	FIG00774048: hypothetical protein		Function unknown	ATG	 
lmo0020	24194	24934	741	+	24194	24934	741	ORF	similar to transcriptional regulator (GntR family)	hypothetical protein - RAST_Product: transcriptional regulator, GntR family	transcriptional regulator, GntR family	Operon_006	Transcription	ATG	 
lmo0021	24950	25351	402	+	24950	25351	402	ORF	similar to PTS system, fructose-specific IIA component	hypothetical protein - RAST_Product: PTS system, IIA component	PTS system, IIA component	Operon_006	Carbohydrate transport and metabolism	TTG	 
lmo0022	25351	25839	489	+	25351	25839	489	ORF	similar to PTS system, fructose-specific IIB component	hypothetical protein - RAST_Product: PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	Operon_006	Carbohydrate transport and metabolism	ATG	 
lmo0023	25862	26665	804	+	25862	26665	804	ORF	similar to PTS system, fructose-specific IIC component	hypothetical protein - RAST_Product: PTS system, mannose-specific IIC component (EC 2.7.1.69)	PTS system, mannose-specific IIC component (EC 2.7.1.69)	Operon_006	Carbohydrate transport and metabolism	ATG	 
lmo0024	26640	27467	828	+	26640	27467	828	ORF	similar to PTS system, mannose-specific IID component	hypothetical protein	PTS system, mannose-specific IID component (EC 2.7.1.69)	Operon_006	Carbohydrate transport and metabolism	ATG	 
lmo0025	27495	28199	705	+	27495	28199	705	ORF	similar to phosphoheptose isomerase	hypothetical protein - RAST_Product: FIG00774489: hypothetical protein	FIG00774489: hypothetical protein	Operon_006	General function prediction only	ATG	 
lmo0026	28254	28895	642	+	28254	28895	642	ORF	similar to E. coli copper homeostasis protein CutC	hypothetical protein	Cytoplasmic copper homeostasis protein cutC	Operon_006	Inorganic ion transport and metabolism	ATG	 
lmo0027	29100	31004	1905	+	29100	31004	1905	ORF	similar to PTS system, beta-glucosides specific enzyme IIABC	hypothetical protein - RAST_Product: PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)		Carbohydrate transport and metabolism	ATG	 
lmo0028	31088	31963	876	+	31088	31963	876	ORF	similar to E. coli microcin C7 self-immunity protein (MccF)	hypothetical protein - RAST_Product: Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)		Defense/virulence mechanisms	ATG	 
